2016-02-05	26840489,26841432,26839247,26832396,26840156,26829318,26824625,26840174,26829317,26839413,26829649,26839177,26837755,26839406,26840090,26841430,26840485,26837467,26837003,26814963
2016-02-06	26840489,26841432,26842033,26839247,26829318,26840156,26832396,26824625,26840174,26829317,26839413,26828088,26829649,26839177,26842604,26837755,26839406,26840090,26834413,26841430
2016-02-07	26849762,26840489,26842033,26841432,26832396,26839247,26840156,26829318,26824625,26840174,26829317,26839413,26828088,26842604,26839177,26829649,26837755,26839406,26834413,26840090
2016-02-08	26842033,26849762,26840489,26842604,26841432,26845405,26845534,26839247,26840156,17540228,26824625,26832396,26829318,26849748,24149212,26834413,26848089,26840174,26829317,26839413
2016-02-09	26849762,26842033,26850641,9667398,26849748,26851532,26848089,381941,26850642,26848154,26847266,26850639,26852189,26852120,26849523,26842604,26840489,26851185,26852249,26852158
2016-02-10	26854199,26849762,26852727,26854237,25905251,26842033,26855422,26855148,26850641,9667398,26849748,26851532,26855149,26848089,381941,26853923,26854805,26847266,26850642,26848154
2016-02-11	26858352,26854199,26857072,26849762,26852727,26854237,26858453,25905251,26862926,26858259,26859285,26842033,26856896,26859684,26855422,25943411,26857844,26859881,26855148,26858408
2016-02-12	26862926,26862812,26863187,26858352,26854199,26860437,26860150,26863196,26849762,26857072,26852727,26858453,26854237,26863600,25905251,26863524,26858259,26859285,26856896,26842033
2016-02-13	26862926,26862812,26863187,26858352,26854199,26860437,26860150,26863196,26863524,26852727,26857072,26854237,26849762,26858453,26863600,25905251,26863192,26858259,26859285,26863354
2016-02-14	26862926,26862812,26871621,26869148,26863187,26858352,26864203,26854199,26860437,26860150,26863196,26857072,26863524,26858453,26849762,26852727,26854237,26863600,25905251,26858259
2016-02-15	26862926,26862812,26871621,26869148,26863187,26858352,26864203,26865554,26852886,26865019,26854199,26860437,26860150,26866840,26871632,26863196,26863524,26849762,26857072,26863600
2016-02-16	26871621,26862926,26871627,26865554,26864203,26862812,26866840,26871637,26863982,26871632,26867199,26869148,26871635,26871633,26866485,26875203,26869611,26871629,26871630,26868672
2016-02-17	26871621,26862926,26871627,26878238,26878679,26876061,26865554,26864203,26878675,26862812,26866840,26871637,26863982,26871632,26869148,26867199,26871635,26866485,26871633,26875203
2016-02-18	26871621,26862926,26878238,26876061,26871627,26878679,26875867,26878724,26877224,26878675,26876650,26862812,26865554,26864203,21874737,26866840,26871637,26863982,26876920,26878240
2016-02-19	26882076,26886798,26886796,26884455,26886794,26886799,26885860,26887054,26879140,26887046,26886800,26882445,26883990,26882551,26871621,26886521,26884195,26884166,26885978,26862926
2016-02-20	26882076,26886798,26891166,26890059,26886796,26888897,26884455,26886794,26886799,26889662,26885860,26890470,26887054,26879140,26887046,26886800,26882445,26885978,26883990,26882551
2016-02-21	26882076,26891166,26886798,26890059,26888897,26886796,26884455,26886794,26886799,26889662,26885860,26890470,26887054,26879140,26887046,26886800,26882445,26885978,26883990,26889605
2016-02-22	26891166,26890059,26888897,26889662,26890470,26887495,26889605,26887506,26897108,26882076,26886798,26886796,26884455,26886794,26886799,26885860,26892436,26887054,26879140,26887046
2016-02-23	26897108,26897106,26891166,26890059,26888897,26896675,26896047,26889662,26890470,26893169,26895815,26892225,26897752,26896565,26892436,26897751,26895850,26887495,26889605,26894958
2016-02-24	26897108,26897106,26891166,26890059,26888897,26896675,26896047,26889662,26890470,26893169,26895815,26892225,26897752,26896565,26892436,26897751,26895850,26887495,26889605,26894958
